id,name,description,image_url,location
earth,Earth,Earth is the third planet from the Sun and the only astronomical body known to harbor life,assets/earth.png,Inner Solar System
saturn,Saturn,"Saturn is the sixth planet from the Sun and the second-largest in our solar system. Famous for its spectacular, complex ring system, it is a massive gas giant primarily composed of hydrogen and helium that famously possesses a density lower than that of water",assets/saturn.png,Outer Solar System
mercury,Mercury,"Mercury can refer to either the smallest planet in our solar system or the heavy, silvery-white liquid metal element",assets/mercury.png,Inner Solar System
venus,Venus,"Venus is the second planet from the Sun and our closest planetary neighbor. Often called Earth's ""twin,""",assets/venus.png,Inner Solar System
mars,Mars,"Mars, the fourth planet from the Sun, is a cold, dry, and dusty desert world known as the ""Red Planet""",assets/mars.png,Inner Solar System
jupiter,Jupiter,"Jupiter is the fifth planet from the Sun and the largest in our solar system, containing more than twice the mass of all other planets combined. As a gas giant, it lacks a solid surface and is primarily composed of hydrogen and helium gases surrounding a dense, fuzzy core.",assets/jupiter.png,Outer Solar System
uranus,Uranus,"Uranus is the seventh planet from the Sun and the third-largest in our solar system. Classified as an ""ice giant,"" it is distinguished by its unique cyan color, extreme cold, and extreme axial tilt that causes the planet to spin completely on its side",assets/uranus.png,Outer Solar System
neptune,Neptune,"Neptune, the eighth and most distant planet from the Sun, is a frigid, windy ice giant. Orbiting over 30 times farther from the Sun than Earth, it is best known for its striking sapphire hue and supersonic weather. It is the only major planet invisible to the naked eye",assets/neptune.png,Outer Solar System
toi-3757-b,TOI-3757 b,TOI-3757 b is a Jupiter-sized exoplanet orbiting a cool red dwarf star 580 light-years away in the Auriga constellation,assets/toi-3757-b.png,Auriga constellation
ogle-2016-blg-1927,OGLE-2016-BLG-1928,"OGLE-2016-BLG-1928 is an interstellar ""rogue"" planet drifting freely through the Milky Way without orbiting a host star.",assets/ogle-2016-blg-1927.png,Milky Way
pluto,Pluto,"Pluto is a dwarf planet in the Kuiper Belt, a region of icy bodies beyond Neptune.",assets/pluto.jpg,Kuiper Belt
haumea,Haumea,"Haumea is a rapidly rotating dwarf planet in the Kuiper Belt with an elongated shape.",assets/haumea.jpg,Kuiper Belt
makemake,Makemake,"Makemake is a dwarf planet in the Kuiper Belt known for its bright, reddish color.",assets/makemake.jpg,Kuiper Belt
eris,Eris,"Eris is a dwarf planet in the scattered disc beyond Neptune and one of the most distant known objects orbiting the Sun.",assets/eris.jpg,Scattered Disc
ceres,Ceres,"Ceres is the largest object in the asteroid belt and is classified as a dwarf planet.",assets/ceres.jpg,Asteroid Belt
55-cancri-e,55 Cancri e,"55 Cancri e is a rocky exoplanet orbiting a Sun-like star and is one of the most studied super-Earths.",assets/55 cancri e.jpg,Cancri constellation
k2-18b,K2-18 b,"K2-18 b is a sub-Neptune exoplanet in the habitable zone, known for interest in possible water vapor.",assets/k2-18b.jpg,Leo constellation
kelt-9b,KELT-9 b,"KELT-9 b is a hot Jupiter that orbits a very bright star and reaches extremely high temperatures.",assets/kelt-9b.jpg,Auriga constellation
kepler-16b,Kepler-16 b,"Kepler-16 b is a circumbinary planet orbiting two stars, much like a world with a double sunrise.",assets/kepler-16b.jpg,Cygnus constellation
trappist-1e,TRAPPIST-1e,"TRAPPIST-1e is a potentially rocky exoplanet in the TRAPPIST-1 system and a popular candidate for study.",assets/trappist-1e.jpg, Aquarius constellation